address,price,beds,baths,sqft,type,agent,details,source_file
"313 Private Road 8693, Winnsboro, TX 75494",130000.0,2,2,1459.0,House for sale,MILLER HOMES GROUP,Enclosed porches,properties_sheet5_parsed.csv
"215 Geronimo, Quitman, TX 75783",130000.0,2,2,900.0,House for sale,,Private boat ramp,properties_sheet5_parsed.csv
"407 Kings Country Blvd, Scroggins, TX 75480",132000.0,3,2,1184.0,House for sale,CENTURY 21 BUTLER REAL ESTATE,525 days on Zillow,properties_sheet5_parsed.csv
"1415 Church St, Sulphur Springs, TX 75482",132000.0,3,2,1540.0,House for sale,,"Price cut: $3,000 (2/18)",properties_sheet5_parsed.csv
"2712 Flint St, Tyler, TX 75701",132500.0,4,2,2100.0,House for sale,,Two baths,properties_sheet5_parsed.csv
"515 E Elm St, Canton, TX 75103",133000.0,2,2,1692.0,House for sale,,Beautiful half-acre lot,properties_sheet5_parsed.csv
"206 Enola Mae Dr, Marshall, TX 75670",134900.0,3,2,1464.0,House for sale,CENTURY 21 A SELECT GROUP,"Price cut: $11,500 (2/17)",properties_sheet5_parsed.csv
"414 W Godfrey St, Gladewater, TX 75647",135000.0,3,2,1152.0,House for sale,COLDWELL BANKER LENHART-GILMER,"Price cut: $4,000 (2/10)",properties_sheet5_parsed.csv
"150 Danyeur Ln, Scroggins, TX 75480",137000.0,2,2,1250.0,House for sale,CENTURY 21 BUTLER REAL ESTATE,"Price cut: $8,000 (1/27)",properties_sheet5_parsed.csv
"1504 N Alice St, Gladewater, TX 75647",139000.0,3,2,1200.0,House for sale,903 REALTY,Quiet and established neighborhood,properties_sheet5_parsed.csv
"2641 Amos Rd, Longview, TX 75602",139000.0,2,2,1400.0,House for sale,RELIABLE REAL ESTATE,34 days on Zillow,properties_sheet5_parsed.csv
"9701 James Ave, Tyler, TX 75706",139500.0,3,2,888.0,House for sale,CENTURY 21 FIRST GROUP - LINDALE,Water well,properties_sheet5_parsed.csv
"891 Elizabeth Dr, Bullard, TX 75757",139500.0,3,2,1680.0,House for sale,REALEDGE REAL ESTATE - TYLER,Vinyl plank flooring,properties_sheet5_parsed.csv
"1117 County Road 2421, Leesburg, TX 75451",139500.0,3,2,1625.0,House for sale,"JENNIFER SHARP, BROKER",Two storage buildings,properties_sheet5_parsed.csv
"13418 County Road 2290, Arp, TX 75750",139900.0,4,2,1832.0,House for sale,MAYA PROPERTIES,Good size kitchen,properties_sheet5_parsed.csv
"1812 W Main St, Henderson, TX 75652",139900.0,3,2,1312.0,House for sale,L4 PROPERTY GROUP,"Price cut: $10,000 (2/16)",properties_sheet5_parsed.csv
"422 Stone St, Mineola, TX 75773",139900.0,3,2,1281.0,House for sale,,Stainless steel appliances,properties_sheet5_parsed.csv
"106 Allen St, Arp, TX 75750",140000.0,3,2,1334.0,House for sale,,Large garage conversion,properties_sheet5_parsed.csv
"2901 Sunset Ln, Kilgore, TX 75662",140000.0,3,3,2510.0,House for sale,COLDWELL BANKER LENHART - KILGORE,Nice lot,properties_sheet5_parsed.csv
"1603 E Main St, Henderson, TX 75652",140000.0,3,3,1830.0,House for sale,"REAL BROKER, LLC",Spacious lot,properties_sheet5_parsed.csv
"1205 Booker St, Longview, TX 75602",146000.0,3,2,1090.0,House for sale,EVERYSTATE INC.,"Price cut: $2,900 (2/3)",properties_sheet5_parsed.csv
"211 Blue Bird Ln, Mineola, TX 75773",148990.0,3,2,1202.0,New construction,National Home Corporation,"Price cut: $6,000 (2/13)",properties_sheet5_parsed.csv
"400 E Cotton St, Longview, TX 75601",149000.0,4,4,2112.0,House for sale,,Price cut: $900 (2/2),properties_sheet5_parsed.csv
"400 Private Road 4035, Marshall, TX 75670",149000.0,4,2,1892.0,For sale by owner,,Brand new roof,properties_sheet5_parsed.csv
"1512 Crescent Dr, Tyler, TX 75702",149000.0,4,2,2906.0,House for sale,,"Price cut: $10,000 (2/5)",properties_sheet5_parsed.csv
"613 N Newsom St, Mineola, TX 75773",149000.0,3,2,1407.0,House for sale,MILLER HOMES GROUP,13 days on Zillow,properties_sheet5_parsed.csv
"325 W 4th St, Tyler, TX 75701",149900.0,3,2,2058.0,Foreclosure,NE TEXAS REGIONAL REALTY,"Price cut: $10,000 (2/9)",properties_sheet5_parsed.csv
"1221 Old Noonday Rd, Tyler, TX 75701",149900.0,3,2,1170.0,House for sale,,Large useable lot,properties_sheet5_parsed.csv
"12379 Chapman Rd, Tyler, TX 75708",149900.0,4,2,1275.0,House for sale,"LESLIE CAIN REALTY, LLC",Oversized lot,properties_sheet5_parsed.csv
"296 County Road 4613, Troup, TX 75789",149900.0,2,2,987.0,House for sale,L4 PROPERTY GROUP,Woodburning stove,properties_sheet5_parsed.csv
"8439 Hyena Rd, Gilmer, TX 75644",149900.0,3,2,1664.0,House for sale,TEXAS REAL ESTATE EXECUTIVES-GILMER,Spring-fed water well,properties_sheet5_parsed.csv
