address,price,beds,baths,sqft,type,agent,details,zip,county,census_median_home_value,census_median_gross_rent,census_median_hh_income,census_vacancy_pct,census_renter_pct,census_unemployment_pct,census_old_housing_pct,census_population,source_file
"13418 County Road 2290, Arp, TX 75750",139900.0,4,2,1832.0,House for sale,MAYA PROPERTIES,Good size kitchen,75750,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"1812 W Main St, Henderson, TX 75652",139900.0,3,2,1312.0,House for sale,L4 PROPERTY GROUP,"Price cut: $10,000 (2/16)",75652,,,,,,,,,,properties_sheet5_enriched.csv
"422 Stone St, Mineola, TX 75773",139900.0,3,2,1281.0,House for sale,,Stainless steel appliances,75773,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"106 Allen St, Arp, TX 75750",140000.0,3,2,1334.0,House for sale,,Large garage conversion,75750,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"2901 Sunset Ln, Kilgore, TX 75662",140000.0,3,3,2510.0,House for sale,COLDWELL BANKER LENHART - KILGORE,Nice lot,75662,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"1603 E Main St, Henderson, TX 75652",140000.0,3,3,1830.0,House for sale,"REAL BROKER, LLC",Spacious lot,75652,,,,,,,,,,properties_sheet5_enriched.csv
"1205 Booker St, Longview, TX 75602",146000.0,3,2,1090.0,House for sale,EVERYSTATE INC.,"Price cut: $2,900 (2/3)",75602,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"211 Blue Bird Ln, Mineola, TX 75773",148990.0,3,2,1202.0,New construction,National Home Corporation,"Price cut: $6,000 (2/13)",75773,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"400 E Cotton St, Longview, TX 75601",149000.0,4,4,2112.0,House for sale,,Price cut: $900 (2/2),75601,Gregg,171900.0,926.0,55227.0,11.7,40.5,5.5,23.4,124245.0,properties_sheet5_enriched.csv
"400 Private Road 4035, Marshall, TX 75670",149000.0,4,2,1892.0,For sale by owner,,Brand new roof,75670,Harrison,168400.0,1015.0,61122.0,10.9,28.7,5.8,17.1,69159.0,properties_sheet5_enriched.csv
"1512 Crescent Dr, Tyler, TX 75702",149000.0,4,2,2906.0,House for sale,,"Price cut: $10,000 (2/5)",75702,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"613 N Newsom St, Mineola, TX 75773",149000.0,3,2,1407.0,House for sale,MILLER HOMES GROUP,13 days on Zillow,75773,Wood,170700.0,869.0,52684.0,19.4,19.5,5.3,13.8,45341.0,properties_sheet5_enriched.csv
"325 W 4th St, Tyler, TX 75701",149900.0,3,2,2058.0,Foreclosure,NE TEXAS REGIONAL REALTY,"Price cut: $10,000 (2/9)",75701,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"1221 Old Noonday Rd, Tyler, TX 75701",149900.0,3,2,1170.0,House for sale,,Large useable lot,75701,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"12379 Chapman Rd, Tyler, TX 75708",149900.0,4,2,1275.0,House for sale,"LESLIE CAIN REALTY, LLC",Oversized lot,75708,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
"296 County Road 4613, Troup, TX 75789",149900.0,2,2,987.0,House for sale,L4 PROPERTY GROUP,Woodburning stove,75789,Smith,201400.0,1061.0,69053.0,10.5,31.3,4.7,15.5,234667.0,properties_sheet5_enriched.csv
