metropolitan_area_name,efficiency,one_bedroom,two_bedroom,three_bedroom,four_bedroom,fmr_percentile,unnamed:_7,year
Hutchinson County,"Hutchinson County, TX",$777,$782,"$1,028","$1,381","$1,546",40,2025
Irion County,"San Angelo, TX HUD Metro FMR Area",$779,$927,"$1,149","$1,523","$1,912",40,2025
Jack County,"Jack County, TX",$705,$729,$905,"$1,275","$1,536",40,2025
Jackson County,"Jackson County, TX",$807,$923,"$1,036","$1,340","$1,540",40,2025
Jasper County,"Jasper County, TX",$775,$789,$995,"$1,275","$1,325",40,2025
Jeff Davis County,"Jeff Davis County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Jefferson County,"Beaumont-Port Arthur, TX MSA",$892,$932,"$1,126","$1,470","$1,575",40,2025
Jim Hogg County,"Jim Hogg County, TX",$705,$729,$905,"$1,275","$1,345",40,2025
Jim Wells County,"Jim Wells County, TX",$795,$811,$939,"$1,275","$1,593",40,2025
Johnson County,"Fort Worth-Arlington, TX HUD Metro FMR Area","$1,266","$1,384","$1,617","$2,144","$2,615",40,2025
Jones County,"Abilene, TX MSA",$860,$876,"$1,117","$1,488","$1,789",40,2025
Karnes County,"Karnes County, TX",$811,$954,"$1,074","$1,429","$1,638",40,2025
Kaufman County,"Dallas, TX HUD Metro FMR Area","$1,426","$1,500","$1,758","$2,212","$2,847",40,2025
Kendall County,"Kendall County, TX HUD Metro FMR Area","$1,229","$1,360","$1,677","$2,204","$2,500",40,2025
Kenedy County,"Kenedy County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Kent County,"Kent County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Kerr County,"Kerr County, TX",$902,$942,"$1,158","$1,548","$1,880",40,2025
Kimble County,"Kimble County, TX",$693,$698,$912,"$1,139","$1,355",40,2025
King County,"King County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Kinney County,"Kinney County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Kleberg County,"Kleberg County, TX",$923,$929,"$1,221","$1,476","$1,815",40,2025
Knox County,"Knox County, TX",$705,$729,$905,"$1,187","$1,345",40,2025
La Salle County,"La Salle County, TX",$713,$738,$916,"$1,291","$1,361",40,2025
Lamar County,"Lamar County, TX",$629,$745,$928,"$1,254","$1,570",40,2025
Lamb County,"Lamb County, TX",$684,$689,$905,"$1,231","$1,484",40,2025
Lampasas County,"Lampasas County, TX HUD Metro FMR Area",$789,$795,"$1,044","$1,405","$1,772",40,2025
Lavaca County,"Lavaca County, TX",$831,$858,"$1,067","$1,290","$1,580",40,2025
Lee County,"Lee County, TX",$935,"$1,002","$1,201","$1,452","$1,599",40,2025
Leon County,"Leon County, TX",$629,$706,$928,"$1,231","$1,236",40,2025
Liberty County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,073","$1,135","$1,357","$1,792","$2,303",40,2025
Limestone County,"Limestone County, TX",$651,$731,$961,"$1,162","$1,605",40,2025
Lipscomb County,"Lipscomb County, TX",$742,$767,$953,"$1,152","$1,416",40,2025
Live Oak County,"Live Oak County, TX",$707,$712,$935,"$1,318","$1,390",40,2025
Llano County,"Llano County, TX",$890,$896,"$1,177","$1,423","$1,829",40,2025
Loving County,"Loving County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Lubbock County,"Lubbock, TX HUD Metro FMR Area",$778,$931,"$1,113","$1,551","$1,829",40,2025
Lynn County,"Lynn County, TX HUD Metro FMR Area",$633,$758,$905,"$1,264","$1,462",40,2025
Madison County,"Madison County, TX",$743,$748,$963,"$1,285","$1,431",40,2025
Marion County,"Marion County, TX",$705,$723,$905,"$1,217","$1,345",40,2025
Martin County,"Martin County, TX HUD Metro FMR Area",$765,$770,$905,"$1,275","$1,536",40,2025
Mason County,"Mason County, TX",$747,$772,$959,"$1,291","$1,425",40,2025
Matagorda County,"Matagorda County, TX",$868,$874,"$1,148","$1,484","$1,948",40,2025
Maverick County,"Maverick County, TX",$753,$758,$928,"$1,192","$1,236",40,2025
McCulloch County,"McCulloch County, TX",$807,$835,"$1,037","$1,254","$1,541",40,2025
McLennan County,"Waco, TX HUD Metro FMR Area",$875,"$1,011","$1,266","$1,632","$1,686",40,2025
McMullen County,"McMullen County, TX",$791,$818,"$1,016","$1,332","$1,510",40,2025
Medina County,"Medina County, TX HUD Metro FMR Area",$834,$866,"$1,138","$1,513","$1,516",40,2025
Menard County,"Menard County, TX",$705,$729,$905,"$1,275","$1,345",40,2025
Midland County,"Midland, TX HUD Metro FMR Area","$1,364","$1,372","$1,612","$2,059","$2,723",40,2025
Milam County,"Milam County, TX",$735,$794,$944,"$1,185","$1,513",40,2025
Mills County,"Mills County, TX",$705,$729,$905,"$1,275","$1,345",40,2025
Mitchell County,"Mitchell County, TX",$751,$848,$964,"$1,358","$1,433",40,2025
Montague County,"Montague County, TX",$868,$874,"$1,148","$1,553","$1,706",40,2025
Montgomery County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,073","$1,135","$1,357","$1,792","$2,303",40,2025
Moore County,"Moore County, TX",$811,$817,"$1,073","$1,297","$1,595",40,2025
Morris County,"Morris County, TX",$684,$689,$905,"$1,249","$1,443",40,2025
Motley County,"Motley County, TX",$705,$729,$905,"$1,103","$1,345",40,2025
Nacogdoches County,"Nacogdoches County, TX",$834,$926,"$1,069","$1,372","$1,814",40,2025
Navarro County,"Navarro County, TX",$700,$772,"$1,015","$1,430","$1,722",40,2025
Newton County,"Newton County, TX",$705,$729,$905,"$1,201","$1,345",40,2025
Nolan County,"Nolan County, TX",$733,$750,$942,"$1,327","$1,599",40,2025
Nueces County,"Corpus Christi, TX MSA","$1,030","$1,104","$1,355","$1,763","$2,066",40,2025
Ochiltree County,"Ochiltree County, TX",$839,$867,"$1,077","$1,305","$1,601",40,2025
Oldham County,"Oldham County, TX HUD Metro FMR Area",$703,$821,"$1,010","$1,221","$1,613",40,2025
Orange County,"Beaumont-Port Arthur, TX MSA",$892,$932,"$1,126","$1,470","$1,575",40,2025
Palo Pinto County,"Palo Pinto County, TX",$795,$800,"$1,051","$1,305","$1,705",40,2025
Panola County,"Panola County, TX",$725,$730,$959,"$1,189","$1,365",40,2025
